clade_name	NCBI_tax_id	CA01	CA02	CA03	CA04	CA05	CA06	CA08	CA12	CA13	CA14	CA15	CA16	CA17	CA18	CA19	CA20	CA21	CA22	CA23	CA24	CA25	CA26	CA27	CA28	CA29	CA30	CA31	CA32	CA33	CA34	CA35	CA36	CA37	CA38	CA39	CA40	CA41
s__Parvimonas_micra	0	0.00489	0.0	0.0	0.0	0.0	0.00151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Faecalibacterium_prausnitzii	0	0.00401	2.30131	7.81365	18.96907	3.95593	2.53488	0.70707	13.52834	4.96749	4.21325	8.0794	23.58288	26.55502	2.29068	14.89381	15.56059	0.00478	0.05254	32.51208	1.65361	11.3773	0.00294	4.60406	23.42711	0.98466	17.64282	0.0	2.05961	10.8395	9.4669	13.35103	0.01755	0.01033	0.28568	22.49928	17.12665	27.37138
s__Eubacterium_sulci	0	0.00399	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03236	0.0	0.0	0.00284	0.0
s__Firmicutes_bacterium_CAG_145	0	0.00343	0.08512	0.0	0.0	0.07636	1.61834	0.0	0.04955	0.00983	0.00396	0.0	0.00138	0.00891	0.0	0.0	0.0323	0.0	0.0	0.0	0.0	0.0	0.01254	0.0	0.06584	0.02983	0.0	0.0	0.0	0.03904	0.0	0.0	0.0	0.0	0.0	0.0	0.07583	0.0
s__Sellimonas_intestinalis	0	0.00313	0.0	0.0	0.0	0.59954	0.16473	0.00506	0.00202	0.0	0.0	0.0	0.0	0.0	0.0	0.8281	0.0	0.0	0.01617	0.0	0.0	0.0	2.47054	0.11796	0.0	0.1078	0.0	0.0	0.0	0.0	0.06186	0.10251	0.0	0.0	0.00249	0.0	0.0	0.0
s__Phascolarctobacterium_succinatutens	0	0.00294	0.0	0.0	0.0	0.0	0.0	0.0	4.95397	3.53356	3.70584	3.65021	0.0	4.65791	0.81197	0.0	0.0	0.0	0.43005	0.0	0.0	0.66928	0.0	0.0	0.68129	0.0	0.0	0.0	0.0	0.0	0.3601	0.0	3.31644	0.0	3.49274	1.8371	0.09316	0.44581
s__Eisenbergiella_tayi	0	0.00235	0.14723	0.00118	0.0	0.09797	0.03125	0.0	0.01199	0.16585	0.16089	0.0	0.0	0.0	0.04957	0.0	0.0	0.0	0.01163	0.0	0.0222	0.00245	0.0	0.0	0.0031	1.7476	0.0	0.0	0.0	0.01316	0.01058	0.0	0.0	0.0	0.0	0.00169	0.05774	0.0
s__Gemella_sanguinis	0	0.00185	0.00259	0.0	0.0	0.0	0.01019	0.0	0.00463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03783	0.00197	0.03525	0.0	0.08431	0.0	0.00624	0.0	0.0	0.0	0.0	0.0	0.0	0.0186	0.0	0.01163	0.0101	0.0	0.0	0.0	0.0
s__Sharpea_azabuensis	0	0.00168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00179	0.00128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Prevotella_stercorea	0	0.00114	0.0	37.03587	0.00179	0.00054	0.00178	0.00027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20246	0.0	0.0	0.0	0.0086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21147	27.41655	2.82129	0.0	0.0008
s__Streptococcus_gordonii	0	0.00089	0.00247	0.0	0.0	0.0	0.00309	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00927	0.03094	0.01731	0.15317	0.0	0.01351	0.0	0.03859	0.0	0.0	0.00541	0.02411	0.08302	0.0	0.0	0.00272	0.0	0.0035	0.00271	0.0	0.0	0.0
s__Mogibacterium_timidum	0	0.00075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Anaerofustis_stercorihominis	0	0.00059	0.0	0.0	0.0	0.0	0.02199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00749	0.0	0.0	0.0	0.0	0.0	0.03399	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00734	0.0	0.0	0.0	0.0	0.0
s__Romboutsia_ilealis	0	0.00056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00403	0.00331	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Firmicutes_bacterium_CAG_83	0	0.0	14.17718	0.2745	0.16214	1.87476	0.0	0.22237	0.0	0.34946	0.31421	0.0	1.38064	3.20021	0.01674	1.28458	0.0	0.0	0.0	0.0339	0.34787	7.17072	0.00341	2.31923	0.47446	0.0	0.03989	0.0	0.00415	0.11178	0.23392	0.49024	0.2718	1.96369	0.26128	0.76627	0.23365	0.01364
s__Bifidobacterium_adolescentis	0	0.0	2.02195	0.51334	1.26664	8.79546	0.0	0.13572	0.07427	0.0	0.0	0.00151	6.34552	1.01342	0.0	0.0	1.03177	0.0	3.13186	0.0	0.0345	0.35629	0.0	0.0	0.0	0.0	1.58645	1.11516	6.62814	4.63461	1.18319	3.7213	0.0	0.0	0.0	0.0	0.99052	13.00436
s__Roseburia_faecis	0	0.0	1.73984	2.58297	4.61039	0.66667	3.16027	0.0	0.51906	1.53436	1.88406	0.29259	0.57814	4.90058	0.21075	2.89034	5.71716	0.0	3.9846	0.0	1.8895	0.07277	0.0	0.0	3.34973	0.19164	3.79417	0.0	4.10252	1.16364	20.35212	3.29905	0.0	1.55917	7.84325	7.02683	0.0	0.71262
s__Eubacterium_siraeum	0	0.0	1.73327	0.83048	26.87706	2.04554	2.54196	0.0	0.0	6.84563	8.08038	0.05009	0.00087	0.04641	3.92273	0.0	0.0	0.0	0.0	0.0	1.27427	0.0	0.0	0.02535	0.28891	0.07758	0.0	0.0	0.0	0.24863	0.0	0.02613	0.0	0.0	0.0	0.07392	0.1915	0.0
s__Lawsonibacter_asaccharolyticus	0	0.0	1.29725	0.0	0.40695	0.0683	9.05705	0.00964	0.01266	0.04709	0.04112	0.10631	0.00318	0.00258	0.18225	0.06323	0.09085	0.0	0.00046	0.0	0.02335	0.02347	0.25297	0.0	0.15348	0.0968	0.03333	0.0	0.00109	0.01298	0.00533	0.13427	0.67729	0.02509	0.0	0.01305	0.0	0.0
s__Eubacterium_ramulus	0	0.0	0.78736	0.38141	0.47341	0.00488	0.0	0.4434	0.0	0.0	0.0	0.35323	0.23953	0.10776	0.13673	2.79314	0.30207	0.0	0.0	0.46174	0.10064	0.53827	0.0	0.03109	0.0	0.03759	1.01785	0.0	0.5774	0.0	0.0	0.16966	0.0	10.82798	0.1205	0.06539	1.67508	0.26142
s__Firmicutes_bacterium_CAG_94	0	0.0	0.39289	0.0	0.0	0.15766	0.07828	0.0	0.0	0.0	0.0	0.0	0.166	0.0	0.15708	0.0	0.01224	6.65029	0.01109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04219	0.0	0.06369	0.0	0.0	0.0	0.25889	0.0	0.0
s__Roseburia_intestinalis	0	0.0	0.38573	0.45145	0.25002	0.00265	0.0	0.71453	0.03557	0.12881	0.13858	1.18203	0.04523	0.17835	0.0	0.0	0.07875	0.0	0.94873	0.63417	0.0	0.22963	0.0	0.0	0.82536	0.0	0.16717	0.0	0.25337	0.05031	0.51799	0.0	0.0	2.52519	1.59734	0.67414	0.151	0.43497
s__Roseburia_hominis	0	0.0	0.35409	0.11882	0.12485	0.02701	0.0	0.0	1.37744	0.11059	0.09654	0.18031	0.01948	0.37217	0.24804	0.85404	0.55904	0.0	0.00306	0.18319	0.1239	1.17542	0.0	0.66501	0.28813	0.3079	0.03523	0.0	0.0135	0.09572	0.05917	0.11106	0.0	0.0	0.0	0.58673	0.10078	0.11299
s__Clostridium_sp_CAG_299	0	0.0	0.33991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10266	0.0	0.0	0.0	0.01722	0.0	0.62598	0.0	0.01848	0.0	0.0	0.0	0.05681	0.0	0.44615	0.0	0.0	0.0	0.0	0.06944	0.0	0.0	0.0	0.0	0.03398	0.00239
s__Clostridium_symbiosum	0	0.0	0.33097	0.0	0.0	0.01563	0.16477	0.0	0.01403	0.02685	0.01743	0.0	0.0	0.0	0.00646	0.06769	0.00426	0.56865	0.00421	0.3211	0.0	0.00334	4.88995	0.0015	0.00231	0.12908	0.00425	0.36639	0.11211	0.0	0.0	0.00381	0.33647	0.25667	0.0	0.02931	0.00203	0.0
s__Clostridium_leptum	0	0.0	0.2723	0.00544	0.07042	0.32633	0.06684	0.04394	0.01834	0.12005	0.10227	0.01955	0.13045	0.02303	0.15716	1.32367	0.02597	1.9559	0.79416	0.0	0.17238	0.02974	5.49071	0.18239	0.22584	0.11797	0.0	0.0	0.0	0.09708	0.03934	0.04347	0.02846	0.69043	0.0	0.5865	0.27322	0.0662
s__Ruminococcus_lactaris	0	0.0	0.24498	2.44055	0.09048	0.80478	0.0	0.0	0.0	1.58531	2.03889	0.0	0.05678	0.0	4.31158	3.19727	0.89769	0.0	0.0	0.0	0.0	0.0	0.0	0.03564	2.63375	0.54423	0.60784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01983
s__Bacteroides_caccae	0	0.0	0.23567	1.57412	0.78243	0.30353	0.16782	1.10412	0.10504	0.23714	0.26773	0.2521	0.02261	0.00111	0.63591	0.0	0.0	0.0	2.81259	0.51309	1.48345	0.11261	1.07987	0.00219	0.0	5.77916	0.32433	0.0	0.98784	0.43317	0.38762	0.40167	0.0	0.44529	0.0	0.16753	0.0	0.0
s__Clostridium_clostridioforme	0	0.0	0.21245	0.0	0.0	0.06914	0.22161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07802	0.0	0.4667	0.00101	0.00613	0.0013	0.0	1.38821	0.0042	0.00236	0.0	0.0	3.26706	0.0	0.0	0.0	0.0	0.21621	0.03083	0.00392	0.0	0.01534	0.0
s__Dialister_invisus	0	0.0	0.173	0.50326	0.23773	0.04681	0.02984	0.0	0.0	0.0	0.0	0.0	0.97539	0.0	0.0	0.0	0.0	0.61536	0.0	0.0	0.0	0.0	0.0	4.97416	0.0	0.0	0.0	0.05154	0.08539	0.0	0.0	0.03942	0.0	0.0	0.0	0.0	0.0	0.0
s__Coprobacillus_cateniformis	0	0.0	0.17159	0.0	0.0	0.03286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.80249	0.0	0.0	0.51778	0.0	0.0042	0.0	0.14913	0.2135	0.02759	0.0	0.0	0.2996	0.0	0.00246	0.0	0.0	0.0016	0.0	0.0	0.0
s__Lachnospira_pectinoschiza	0	0.0	0.16073	0.0	3.07878	0.0	0.0	0.0	0.0	0.0	0.0	0.0772	0.0	0.07563	0.0	0.0	0.20488	0.0	0.0	0.0	0.0	0.17393	0.0	0.09754	1.1827	0.0	0.04292	0.0	0.0	0.01467	0.16931	0.0	0.0	0.0	1.31114	1.27486	0.0	0.0
s__Parabacteroides_merdae	0	0.0	0.14623	1.17446	1.16292	0.30113	0.05342	0.49163	0.35609	0.52675	0.41824	0.05945	0.0	0.18154	0.70558	0.43054	1.34525	0.06971	0.16919	0.13921	0.36428	0.29425	1.38474	0.01135	0.02523	2.48526	0.55074	0.1144	0.32909	0.15985	0.32171	0.50151	0.29438	0.26214	0.11932	0.56065	0.00338	0.00114
s__Holdemania_filiformis	0	0.0	0.1384	0.00629	0.00245	0.00119	0.14467	0.00683	0.02282	0.00652	0.00827	0.01408	0.00499	0.02031	0.0	0.0	0.0	0.0	0.02284	0.12782	0.03718	0.0	0.0	0.00262	0.12493	0.0	0.0	0.0	0.0	0.0577	0.08029	0.0	0.11762	0.0503	0.01915	0.0	0.11814	0.05732
s__Barnesiella_intestinihominis	0	0.0	0.13652	0.0	0.0	0.0	0.0	1.67164	0.1218	0.0	0.0	0.0	0.0	0.29168	1.04692	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28568	0.70551	0.0	0.0	0.0	0.0	0.0	0.0	0.00347
s__Hungatella_hathewayi	0	0.0	0.12263	0.0	0.00279	0.01475	0.0652	0.00976	0.0	0.00693	0.02054	0.0	0.0	0.0	0.00605	0.06038	0.0	2.01106	0.00533	0.03784	0.05301	0.00061	0.13983	0.0	0.00076	0.09217	0.00627	0.08124	0.0	0.14627	0.01824	0.00101	0.01002	0.24266	0.00536	0.0	0.0	0.0
s__Eubacterium_eligens	0	0.0	0.11472	0.19097	1.61915	0.0	0.0	0.0	0.26093	0.01152	0.0273	0.0	0.0	0.03111	0.00039	3.79054	1.87072	0.0	0.0	0.0	0.0	0.18933	0.0	0.14361	0.17436	0.0	0.0	0.0	0.04655	0.31947	1.19519	0.0	0.0	0.0	0.0	0.44062	0.0	0.0
s__Firmicutes_bacterium_CAG_424	0	0.0	0.11291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0846	0.0
s__Bacteroides_uniformis	0	0.0	0.0536	1.93	1.72313	1.02284	0.53379	7.63036	0.06143	0.7502	0.70466	0.16943	0.52996	0.14256	1.44166	3.30411	4.1597	0.89207	0.54324	0.6218	1.53053	0.30492	0.07843	0.01454	0.90777	10.7806	0.58534	0.48849	3.08941	0.53664	0.24495	0.83449	0.05124	0.20771	4.73249	3.82389	0.01417	0.03396
s__Intestinimonas_butyriciproducens	0	0.0	0.05164	0.0	0.00977	0.16204	0.0	0.0	0.00919	0.60955	0.53666	0.0	0.0	0.0	0.01973	0.0	0.0	2.21862	0.0	0.0	0.0	0.0	0.08447	0.0	0.0	0.01883	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00066	0.0	0.00095	0.0	0.0
s__Anaerotruncus_colihominis	0	0.0	0.0483	0.01638	0.0	0.10952	0.34765	0.00167	0.00306	0.0	0.0	0.0	0.0	0.0	0.0	0.02991	0.0	0.36255	0.00028	0.0	0.58625	0.00477	1.73644	0.00075	0.00229	0.56852	0.0	0.0	0.0	0.0	0.00279	0.00341	0.00771	0.05168	0.0	0.00941	0.03278	0.0
s__Christensenella_minuta	0	0.0	0.04576	0.0	0.0	0.0	0.22014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01067	0.01544	0.0	0.0	0.0	0.0	0.14451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00626	0.0	0.0	0.0038	0.0	0.0
s__Clostridium_citroniae	0	0.0	0.04259	0.00553	0.00727	0.0	0.02285	0.01195	0.00622	0.00327	0.00214	0.00353	0.0	0.0	0.00669	0.02598	0.0	0.14308	0.03785	0.00663	0.0	0.00548	0.08513	0.0	0.01751	0.00443	0.0	1.08249	0.00249	0.0	0.03085	0.00219	0.14338	0.0	0.0	0.00195	0.0	0.0
s__Gemmiger_formicilis	0	0.0	0.04246	0.04842	0.2392	0.06173	0.0	0.0	0.1318	0.11341	0.0948	0.00613	0.95793	0.12675	0.07915	0.0	0.41048	0.0	0.0004	0.02352	0.01943	0.2358	0.0	0.06291	0.24671	0.01453	0.07304	0.0	0.28952	0.16473	0.0	0.12644	0.0	0.0	0.09142	0.10331	0.0	0.79626
s__Clostridium_asparagiforme	0	0.0	0.03151	0.0	0.0	0.11694	0.03766	0.0	0.00382	0.0	0.0	0.01386	0.0	0.0	0.0	0.0	0.00436	0.0	0.03101	0.0	0.0	0.0	0.0	0.0	0.00401	0.0786	0.0	0.0	0.0	0.0054	0.06665	0.0	0.0	0.0	0.0	0.01763	0.0	0.0
s__Clostridium_bolteae	0	0.0	0.02705	0.0	0.0	0.0	0.0053	0.41344	0.02605	0.0	0.0	0.12806	0.0	0.0	0.02403	0.0487	0.0	0.60706	0.0	0.04087	0.13574	0.00385	1.59925	0.00205	0.02118	0.06595	0.00241	0.2064	0.01821	0.01264	0.06325	0.00403	0.39903	0.2425	0.23579	0.00171	0.01685	0.0
s__Ruminococcaceae_bacterium_D16	0	0.0	0.02557	0.0	0.0	0.00734	0.10482	0.0	0.12088	0.00904	0.00495	0.0	0.0	0.0	0.22174	0.11835	0.0	0.0	0.0	0.0	0.15619	0.0	1.00117	0.01573	0.0	1.01722	0.0	0.54785	0.03592	0.0	0.0	0.0	0.21455	0.2814	0.0	0.0264	0.0	0.0
s__Lactobacillus_johnsonii	0	0.0	0.02449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_sp_CAG_167	0	0.0	0.02427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Paraprevotella_xylaniphila	0	0.0	0.02387	0.18425	0.0	0.03043	0.0	0.0	0.08491	0.26037	0.30048	0.0	0.0	0.08837	0.10311	0.26838	0.82173	0.0	0.0	0.0	0.11575	0.01431	0.05746	0.0	0.04496	0.18792	0.02754	0.88244	0.43708	0.0	0.0	0.0	0.3732	0.0	0.48849	0.0	0.00127	0.0
s__Parabacteroides_distasonis	0	0.0	0.02232	0.87769	0.0	3.52709	0.09168	1.48233	0.36293	0.46159	0.49768	0.04428	0.0	0.19297	3.77899	0.0	0.48455	2.21228	0.0	0.0	0.25974	0.02307	0.33485	0.00509	0.04301	0.82787	0.03982	0.77999	1.43225	0.30137	0.37903	0.02907	0.48208	0.13648	1.39556	0.0	0.02049	0.0089
s__Roseburia_inulinivorans	0	0.0	0.02147	5.4605	1.93965	0.00193	0.0	0.03763	7.34838	0.29388	0.3799	1.2326	1.72718	1.61975	0.00107	1.79817	0.37304	0.0	1.41404	0.0	0.07125	1.18991	0.14099	0.0	0.64385	0.0	1.16339	0.0	0.09753	0.09478	1.59114	0.06264	44.9048	10.23053	1.0844	0.60812	0.00329	0.21693
s__Blautia_producta	0	0.0	0.02115	0.0	0.0	0.00104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43777	0.0	0.0	0.0	0.0	0.01647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Eubacterium_limosum	0	0.0	0.01955	0.0	0.0	0.0	0.0	0.0	0.0	0.00363	0.0	0.0	0.0	0.0	0.01099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Oscillibacter_sp_57_20	0	0.0	0.01747	0.64831	0.78875	0.58992	0.0	0.0	0.06078	0.54065	0.16924	0.1974	0.02862	0.695	1.31339	0.0	0.75834	0.0	0.0	0.0	0.29126	0.11595	0.0	0.1051	0.18111	0.97861	0.15464	0.0	0.29858	0.26102	0.07421	0.0266	0.15419	0.0	0.33463	1.7857	0.00464	0.00649
s__Blautia_sp_N6H1_15	0	0.0	0.01668	0.0	0.0	0.0	0.06286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.50847	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00326	0.0	0.0	0.21988	0.0	0.0	0.0	0.0
s__Enterorhabdus_caecimuris	0	0.0	0.01483	0.0	0.0	0.00621	0.00137	0.0	0.0	0.0	0.0	0.0	0.00561	0.0	0.00432	0.00247	0.0	0.00116	0.0	0.0	0.0	0.0	0.0	0.0	0.00025	0.00216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.00145	0.00614	0.04153
s__Bacteroides_intestinalis	0	0.0	0.01386	0.0	1.61786	0.0	0.0	0.0	0.0	0.00131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05872	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_sp_chh4_2	0	0.0	0.01327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Harryflintia_acetispora	0	0.0	0.01135	0.0	0.0	0.01793	0.03001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0969	0.0	0.65982	0.0003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00511	0.00244	0.0	0.0	0.0	0.00561	0.0186
s__Proteobacteria_bacterium_CAG_139	0	0.0	0.01034	0.0	0.0	0.0	0.00211	3.0224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00184	0.0	0.0	0.0	0.0	0.0	0.00102	0.0	0.0	0.0	0.0	0.0	0.09575	0.0	0.0	0.0	0.0	0.0009	0.0	0.0
s__Clostridium_aldenense	0	0.0	0.00976	0.0	0.0	0.00242	0.0049	0.00497	0.0	0.0	0.0	0.0	0.0	0.0	0.00612	0.00553	0.0	0.09696	0.0	0.0	0.0	0.0	0.07448	0.0	0.0	0.02554	0.0	0.13159	0.0	0.0	0.0	0.0	0.008	0.00504	0.0	0.0	0.0	0.0
s__Bacteroides_ovatus	0	0.0	0.00831	0.77717	0.0	1.16532	0.12506	8.89526	0.00849	0.52874	0.7445	0.0018	0.00366	0.05127	2.06113	1.50364	0.43512	0.0	0.22972	0.29847	0.1123	0.00708	0.43657	0.0	0.06377	3.70275	0.0	0.0	0.27809	0.01201	0.49789	0.45236	0.11869	0.05207	2.20698	1.29836	0.0	0.0
s__Lactobacillus_salivarius	0	0.0	0.00676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02611	0.0	0.0	0.88231	0.0	0.08293	0.0	0.0	0.0	0.0	0.0	0.0
s__Firmicutes_bacterium_CAG_646	0	0.0	0.00656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
