model	held_out_study	balanced_accuracy	f1_macro	auroc	balanced_accuracy_std	f1_macro_std	auroc_std	n_train_samples	n_eval_samples	ctrl_anchor_mmd_mean	ctrl_anchor_mmd_max	ctrl_anchor_coral_mean	ctrl_anchor_coral_max
hyp-philrvae	FengQ_2015	0.4155795837693291	0.2273580397367308		0.0173214945018705	0.0105400532136045		1496	154				
hyp-philrvae	VogtmannE_2016	0.3846153846153846	0.238866870685478		0.0186889483809144	0.0115037999210433		1540	110				
hyp-philrvae	ZellerG_2014	0.4792374275207557	0.2554302970199181		0.0131497761659137	0.0104367800986463		1494	156				
hyp-philrvae	YuJ_2015	0.610910910910911	0.2516118508063228		0.0175856675206997	0.0068067578449068		1522	128				
hyp-philrvae	WirbelJ_2018	0.6491025641025641	0.2785688647319339		0.0251295133097469	0.0089751608074633		1525	125				
hyp-philrvae	YachidaS_2019	0.3377242966120016	0.2443049441137468		0.0033641524844541	0.0024275535747954		1034	616				
hyp-philrvae	ThomasAM_2018a	0.4747445721583653	0.2274341679337391		0.0143185380760781	0.0108410826477276		1570	80				
hyp-philrvae	ThomasAM_2018b	0.684375	0.2731660660128402		0.010540820493855	0.0054224020912667		1590	60				
hyp-philrvae	ThomasAM_2019_c	1.0	0.4		0.0	0.0		1570	80				
hyp-philrvae	HanniganGD_2017	0.4174806674806675	0.2428413307886202		0.0231487631131218	0.0118919311959515		1569	81				
hyp-philrvae	GuptaA_2019	0.7333333333333334	0.3035638924153776		0.0263523138347364	0.0106697380534439		1590	60				
tree-dtm-vae	FengQ_2015	0.4295026361949824	0.2432532486225648		0.0181584502309638	0.0102936278006557		1496	154				
tree-dtm-vae	VogtmannE_2016	0.3256410256410256	0.2033954824904891		0.0159614097410111	0.009080296264073		1540	110				
tree-dtm-vae	ZellerG_2014	0.4401229385454563	0.2330832137388038		0.0098329861407753	0.0082741697762634		1494	156				
tree-dtm-vae	YuJ_2015	0.5371871871871872	0.2179710485354959		0.0207893051404137	0.0070577938745299		1522	128				
tree-dtm-vae	WirbelJ_2018	0.5374358974358974	0.2280980403934282		0.015816585141837	0.0052937069621487		1525	125				
tree-dtm-vae	YachidaS_2019	0.2897622975643417	0.2114906420488465		0.0078724438082084	0.0064815331543893		1034	616				
tree-dtm-vae	ThomasAM_2018a	0.3746168582375478	0.1802838227667729		0.0062664472160138	0.0039180263489928		1570	80				
tree-dtm-vae	ThomasAM_2018b	0.6258928571428571	0.2453027016531432		0.0370360866664017	0.0144711206967517		1590	60				
tree-dtm-vae	ThomasAM_2019_c	0.9575	0.3848793888923559		0.0142521928137392	0.0050863815527646		1570	80				
tree-dtm-vae	HanniganGD_2017	0.2874643874643875	0.1633419601252632		0.0253953161312752	0.0136223748631758		1569	81				
tree-dtm-vae	GuptaA_2019	0.5666666666666667	0.231029125651228		0.0204124145231931	0.0083136686322959		1590	60				
diva-tree-dtm-vae	FengQ_2015	0.4656708269513655	0.2669952025986721		0.0036484048240405	0.0024422345931815		1496	154				
diva-tree-dtm-vae	VogtmannE_2016	0.3794871794871794	0.2445614351525262		0.0083579518015418	0.0059370017574621		1540	110				
diva-tree-dtm-vae	ZellerG_2014	0.438405530270671	0.2427957871886092		0.0051757284103346	0.003927932536189		1494	156				
diva-tree-dtm-vae	YuJ_2015	0.415015015015015	0.1789974527633794		0.009148007345359	0.0039549024374987		1522	128				
diva-tree-dtm-vae	WirbelJ_2018	0.5503846153846154	0.2460222287323555		0.01207444582356	0.0050628813835263		1525	125				
diva-tree-dtm-vae	YachidaS_2019	0.3248379615864898	0.2457224147854984		0.0009921349847313	0.0017219745415075		1034	616				
diva-tree-dtm-vae	ThomasAM_2018a	0.4561409110259685	0.247648658975193		0.00997750106317	0.0085174207270247		1570	80				
diva-tree-dtm-vae	ThomasAM_2018b	0.6178571428571428	0.2571109088479909		0.0152538835386338	0.0055475203819216		1590	60				
diva-tree-dtm-vae	ThomasAM_2019_c	0.7525000000000001	0.3299446755775869		0.0104582503316759	0.0027692447256258		1570	80				
diva-tree-dtm-vae	HanniganGD_2017	0.3569529236195903	0.2012247166989216		0.0223471243635523	0.0124803737420968		1569	81				
diva-tree-dtm-vae	GuptaA_2019	0.5433333333333332	0.2380265186555658		0.0091287092917527	0.0041046403150638		1590	60				
diva-hyp-philr-nb	FengQ_2015	0.4709523159592161	0.27186554261067		0.0070037385358969	0.0055191302904318		1496	154				
diva-hyp-philr-nb	VogtmannE_2016	0.3461538461538461	0.2236803313496118		0.0078509286627666	0.0042909922094204		1540	110				
diva-hyp-philr-nb	ZellerG_2014	0.5143907815729654	0.2872798403287253		0.0199104061794559	0.0127810338495436		1494	156				
diva-hyp-philr-nb	YuJ_2015	0.6584584584584585	0.2758753233148069		0.023750976899877	0.0102293059817554		1522	128				
diva-hyp-philr-nb	WirbelJ_2018	0.6444871794871794	0.284572434996844		0.0092516679378272	0.0029872362772099		1525	125				
diva-hyp-philr-nb	YachidaS_2019	0.3084758732050855	0.2267770325738117		0.0060338087789952	0.0052102533561779		1034	616				
diva-hyp-philr-nb	ThomasAM_2018a	0.5339506172839505	0.3037070183836194		0.0170704604112557	0.0095906343657149		1570	80				
diva-hyp-philr-nb	ThomasAM_2018b	0.6540178571428572	0.2693440204837049		0.0111607142857142	0.004732268200814		1590	60				
diva-hyp-philr-nb	ThomasAM_2019_c	0.9875	0.3949992186279106		0.0	0.0		1570	80				
diva-hyp-philr-nb	HanniganGD_2017	0.3205467372134038	0.1800719858177865		0.0140838665258526	0.009564542539032		1569	81				
diva-hyp-philr-nb	GuptaA_2019	0.57	0.2681821705892011		0.0074535599249992	0.0042138581788751		1590	60				
diva-beta-vae	FengQ_2015	0.4306475991163818	0.2423511144331029		0.0072250657101732	0.0036614017705577		1496	154				
diva-beta-vae	VogtmannE_2016	0.3705128205128205	0.23354182472572		0.0105331261058685	0.0056805424124724		1540	110				
diva-beta-vae	ZellerG_2014	0.4222703371481596	0.2135223037256404		0.0054213182307965	0.0027811545890206		1494	156				
diva-beta-vae	YuJ_2015	0.6149149149149149	0.2512987615118062		0.0081923997529423	0.0035967908573004		1522	128				
diva-beta-vae	WirbelJ_2018	0.4996153846153846	0.2268723661837643		0.0134965965953687	0.0067361488170782		1525	125				
diva-beta-vae	YachidaS_2019	0.3109447550536025	0.2362461690103208		0.0043670365428918	0.0041464392655788		1034	616				
diva-beta-vae	ThomasAM_2018a	0.4583333333333333	0.2387055439189274		0.0212617602169274	0.0117385609214291		1570	80				
diva-beta-vae	ThomasAM_2018b	0.4897321428571429	0.2053253572615486		0.0079859570624992	0.0021223696057624		1590	60				
diva-beta-vae	ThomasAM_2019_c	1.0	0.4		0.0	0.0		1570	80				
diva-beta-vae	HanniganGD_2017	0.4250983584316917	0.2550458009886915		0.0067620068827798	0.004365323834059		1569	81				
diva-beta-vae	GuptaA_2019	0.5666666666666668	0.2446519402007207		0.0166666666666666	0.0065813599334051		1590	60				
beta-vae	FengQ_2015	0.3956531849178305	0.22994418984651		0.0178092757074073	0.0124386152134783		1496	154				
beta-vae	VogtmannE_2016	0.3358974358974359	0.2070767388537359		0.0140441681411581	0.009122797857005		1540	110				
beta-vae	ZellerG_2014	0.4125570137323927	0.2125055098806418		0.0157500698385092	0.0074315762144719		1494	156				
beta-vae	YuJ_2015	0.5366366366366366	0.2284568277617239		0.0124806902650195	0.0065478106116548		1522	128				
beta-vae	WirbelJ_2018	0.5089743589743589	0.2183538716784237		0.0085041661291164	0.0025562497781096		1525	125				
beta-vae	YachidaS_2019	0.3149284154599927	0.2321664310776635		0.0042369445246723	0.0030379766381956		1034	616				
beta-vae	ThomasAM_2018a	0.4668050234142187	0.2411249804888988		0.0241915572054539	0.0134054223383317		1570	80				
beta-vae	ThomasAM_2018b	0.5580357142857143	0.2301484002657255		0.0287158043086352	0.0127508461256726		1590	60				
beta-vae	ThomasAM_2019_c	1.0	0.4		0.0	0.0		1570	80				
beta-vae	HanniganGD_2017	0.3078686745353412	0.1825819678781622		0.0284704631411682	0.0153688906746943		1569	81				
beta-vae	GuptaA_2019	0.6133333333333333	0.2641684545018802		0.0247206616236522	0.0063644826295981		1590	60				
phylodiva-tree-dtm-vae	FengQ_2015	0.3671954221703239	0.2000782789124681		0.0165050945486299	0.0101202746571575		1496	154				
phylodiva-tree-dtm-vae	VogtmannE_2016	0.3833333333333333	0.235614082805306		0.0053632052982953	0.0027811147573		1540	110				
phylodiva-tree-dtm-vae	ZellerG_2014	0.4574354744475375	0.2595005148159781		0.0070606771070185	0.0041552967815562		1494	156				
phylodiva-tree-dtm-vae	YuJ_2015	0.5647147147147147	0.2409045026859131		0.008276438265419	0.004020396231863		1522	128				
phylodiva-tree-dtm-vae	WirbelJ_2018	0.526025641025641	0.2367165142624187		0.016106207737365	0.0049075235511259		1525	125				
phylodiva-tree-dtm-vae	YachidaS_2019	0.3146417223619694	0.2338115964084909		0.0015749090281986	0.0011037925055483		1034	616				
phylodiva-tree-dtm-vae	ThomasAM_2018a	0.3978288633461047	0.1874652853589807		0.0149701109532841	0.0139669780823005		1570	80				
phylodiva-tree-dtm-vae	ThomasAM_2018b	0.5022321428571429	0.2202167353389157		0.0082014165494972	0.0048269815922816		1590	60				
phylodiva-tree-dtm-vae	ThomasAM_2019_c	0.7925	0.33350645053569		0.0142521928137392	0.0043151857761318		1570	80				
phylodiva-tree-dtm-vae	HanniganGD_2017	0.3634174467507801	0.2237569401626211		0.0142604500937705	0.0089351438751848		1569	81				
phylodiva-tree-dtm-vae	GuptaA_2019	0.49	0.2104211476236748		0.0278886675511358	0.0130528489814348		1590	60				
phylodiva-hyp-philr-nb	FengQ_2015	0.4995743669846276	0.2830110194257256		0.0061221535543952	0.0042813983828454		1496	154				
phylodiva-hyp-philr-nb	VogtmannE_2016	0.3692307692307692	0.2286481265768253		0.0035110420352895	0.0026981358726141		1540	110				
phylodiva-hyp-philr-nb	ZellerG_2014	0.4715925549516641	0.2438286122646858		0.0029515321596659	0.0019210306555186		1494	156				
phylodiva-hyp-philr-nb	YuJ_2015	0.6088588588588589	0.2711434079435436		0.0222166698056682	0.0086213343319863		1522	128				
phylodiva-hyp-philr-nb	WirbelJ_2018	0.5824358974358974	0.2669989756274544		0.008737722672507	0.0020561009180775		1525	125				
phylodiva-hyp-philr-nb	YachidaS_2019	0.3188915747400309	0.2352921245201933		0.0022104053680936	0.0025594746870739		1034	616				
phylodiva-hyp-philr-nb	ThomasAM_2018a	0.4562047679863772	0.2393656291027119		0.0081276641515695	0.0045440119742199		1570	80				
phylodiva-hyp-philr-nb	ThomasAM_2018b	0.6794642857142857	0.2801626619282357		0.0157520346110512	0.0027585140868512		1590	60				
phylodiva-hyp-philr-nb	ThomasAM_2019_c	0.965	0.3864794499140491		0.0136930639376291	0.0048932153522886		1570	80				
phylodiva-hyp-philr-nb	HanniganGD_2017	0.3667345000678333	0.2191948218118412		0.0134027497522741	0.0079788778710088		1569	81				
phylodiva-hyp-philr-nb	GuptaA_2019	0.6766666666666667	0.2810499657604191		0.0091287092917527	0.0048809122670831		1590	60				
phylodiva-beta-vae	FengQ_2015	0.3944414956804821	0.2134810078359335		0.0076529843244385	0.0033778945914656		1496	154				
phylodiva-beta-vae	VogtmannE_2016	0.4038461538461539	0.2529640261164032		0.0078509286627665	0.0049098570569544		1540	110				
phylodiva-beta-vae	ZellerG_2014	0.394741725951129	0.1979362800103809		0.0071248113718061	0.0043568461072155		1494	156				
phylodiva-beta-vae	YuJ_2015	0.5968468468468469	0.2530688486653283		0.0065472850109865	0.0028723756673837		1522	128				
phylodiva-beta-vae	WirbelJ_2018	0.5323076923076924	0.2332205423995849		0.021594097861659	0.0084037642011362		1525	125				
phylodiva-beta-vae	YachidaS_2019	0.3231287046653142	0.2413944777868157		0.0011156976129579	0.0007964786908084		1034	616				
phylodiva-beta-vae	ThomasAM_2018a	0.5192528735632184	0.2462583053152011		0.0051403861551719	0.0031977818167926		1570	80				
phylodiva-beta-vae	ThomasAM_2018b	0.546875	0.2115266315221741		0.0126269068069025	0.0041485738630274		1590	60				
phylodiva-beta-vae	ThomasAM_2019_c	0.95	0.3848101265822785		0.0	0.0		1570	80				
phylodiva-beta-vae	HanniganGD_2017	0.3948514448514448	0.2347741598794897		0.0237169716465816	0.0137461034583677		1569	81				
phylodiva-beta-vae	GuptaA_2019	0.5866666666666667	0.2559783627839885		0.0074535599249993	0.0026254126310101		1590	60				
taxi-tree-dtm-vae	FengQ_2015	0.4351950986487921	0.2435547237229403		0.0160789171596492	0.0090022790742904		1496	154				
taxi-tree-dtm-vae	VogtmannE_2016	0.3756410256410256	0.2250859567962682		0.0229340305384594	0.014117746965707		1540	110				
taxi-tree-dtm-vae	ZellerG_2014	0.3753096784646429	0.2015270331477451		0.0108212447247975	0.0083076410519558		1494	156				
taxi-tree-dtm-vae	YuJ_2015	0.5941941941941942	0.2513263149845842		0.0068821093783492	0.00242287721702		1522	128				
taxi-tree-dtm-vae	WirbelJ_2018	0.5776923076923077	0.2379950198818711		0.0188116726251535	0.007339977367007		1525	125				
taxi-tree-dtm-vae	YachidaS_2019	0.2888659984613207	0.2135349930656519		0.0027999065031769	0.0046395458191391		1034	616				
taxi-tree-dtm-vae	ThomasAM_2018a	0.4495210727969348	0.2501785878624182		0.0138033298281298	0.0085689380295941		1570	80				
taxi-tree-dtm-vae	ThomasAM_2018b	0.4977678571428571	0.1996581559618548		0.0346162107573009	0.0116970022832275		1590	60				
taxi-tree-dtm-vae	ThomasAM_2019_c	0.5975	0.2584969624568168		0.0418330013267037	0.0161761605828265		1570	80				
taxi-tree-dtm-vae	HanniganGD_2017	0.3993487993487993	0.2329443085855008		0.0240299596245148	0.0146499668966214		1569	81				
taxi-tree-dtm-vae	GuptaA_2019	0.5	0.2298186296462158		0.0235702260395515	0.0082828954691661		1590	60				
taxi-hyp-philrvae	FengQ_2015	0.4787582839204743	0.2577226147285985		0.0322783605312436	0.0202212725768954		1496	154				
taxi-hyp-philrvae	VogtmannE_2016	0.4025641025641026	0.252481306068619		0.0114670152692297	0.0059538543551944		1540	110				
taxi-hyp-philrvae	ZellerG_2014	0.4360641008645958	0.2257075310336084		0.0162312669841699	0.011931038095133		1494	156				
taxi-hyp-philrvae	YuJ_2015	0.6508508508508509	0.2685070448582912		0.016123575266953	0.0059730509676192		1522	128				
taxi-hyp-philrvae	WirbelJ_2018	0.5375641025641025	0.2404778331726331		0.010141584800948	0.0042866576131595		1525	125				
taxi-hyp-philrvae	YachidaS_2019	0.3284165662929676	0.2390044812030929		0.0035464729753612	0.0023907553501571		1034	616				
taxi-hyp-philrvae	ThomasAM_2018a	0.4697424435930183	0.2468511588927011		0.0104294679117287	0.0034282852576877		1570	80				
taxi-hyp-philrvae	ThomasAM_2018b	0.5964285714285714	0.2585468815229189		0.0073015300150875	0.0023701065317377		1590	60				
taxi-hyp-philrvae	ThomasAM_2019_c	0.9975	0.398999843725582		0.0055901699437494	0.0022364174177213		1570	80				
taxi-hyp-philrvae	HanniganGD_2017	0.3795143128476462	0.2115803285872715		0.0154292398072712	0.0099950099818148		1569	81				
taxi-hyp-philrvae	GuptaA_2019	0.5833333333333334	0.2501135591914207		0.0372677996249964	0.0173372289688553		1590	60				
xgb-baseline	FengQ_2015	0.5021246265601067	0.2644253621672014		0.0144855603524156	0.0098132998328224		1496	154				
xgb-baseline	VogtmannE_2016	0.4051282051282051	0.2503457371474985		0.0146176336551171	0.0077216783562559		1540	110				
xgb-baseline	ZellerG_2014	0.4891412467657441	0.2505238119857657		0.0096374290527201	0.0056824559568995		1494	156				
xgb-baseline	YuJ_2015	0.7321821821821823	0.294598325061591		0.0086858830111164	0.0047411590480068		1522	128				
xgb-baseline	WirbelJ_2018	0.717948717948718	0.3073408930963986		0.0085041661291164	0.0036602222498563		1525	125				
xgb-baseline	YachidaS_2019	0.3448848018777602	0.2493985546712195		0.0037118593593291	0.0026846904942597		1034	616				
xgb-baseline	ThomasAM_2018a	0.5214665815240528	0.2741227820852101		0.0290665515934233	0.0166665058486886		1570	80				
xgb-baseline	ThomasAM_2018b	0.7107142857142857	0.2871319159164897		0.0206156248018193	0.0062102071340647		1590	60				
xgb-baseline	ThomasAM_2019_c	1.0	0.4		0.0	0.0		1570	80				
xgb-baseline	HanniganGD_2017	0.3612806946140279	0.1775773354660363		0.0198329773593538	0.0178665988177887		1569	81				
xgb-baseline	GuptaA_2019	0.6933333333333334	0.2879175163645994		0.0252762514801717	0.0104125850150948		1590	60				
xgb-coral	FengQ_2015	0.3998336897125208	0.1947403350589423		0.0157577553325557	0.0083998571217449		1496	154				
xgb-coral	VogtmannE_2016	0.3897435897435897	0.2270853942729014		0.0153042774183504	0.0090503029248699		1540	110				
xgb-coral	ZellerG_2014	0.4493452933292092	0.2239720865647375		0.0159592959594146	0.0083688173539202		1494	156				
xgb-coral	YuJ_2015	0.6485485485485485	0.2650229577997941		0.0089402755620687	0.0035498070480195		1522	128				
xgb-coral	WirbelJ_2018	0.6028205128205129	0.2423639403147342		0.0197608565854684	0.0083742721253821		1525	125				
xgb-coral	YachidaS_2019	0.3098420157159168	0.2334677849416539		0.0026375858013771	0.0026786964275099		1034	616				
xgb-coral	ThomasAM_2018a	0.4499042145593869	0.2139479552453773		0.0276963232999371	0.0125342007777987		1570	80				
xgb-coral	ThomasAM_2018b	0.5687500000000001	0.226175799218252		0.0377291573932156	0.0168428076304077		1590	60				
xgb-coral	ThomasAM_2019_c	0.7375	0.2986626116085727		0.0233853586673371	0.0067467010888759		1570	80				
xgb-coral	HanniganGD_2017	0.3539004205670872	0.1778906397453813		0.0317777095759363	0.0224517630355832		1569	81				
xgb-coral	GuptaA_2019	0.7566666666666666	0.3017425666481607		0.0252762514801718	0.0098642296105611		1590	60				
